review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Shopee,,aplikasi yang mmbatu belanaja mudah,,dan praktis,,,����",5,2,shopee aplikasi mmbatu belanaja mudah praktis,53,1.0,0.6978,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'aplikasi', 'mmbatu', 'belanaja', 'mudah', 'praktis']"
Trimaksi tokopedia memudahkan kami dlm menyelesaikan pelatihn prakerja ������,5,2,trimaksi tokopedia mudah dlm pelatihn,54,1.0,0.9901,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['trimaksi', 'aplikasi', 'mudah', 'dlm', 'pelatihn']"
Asyik belanja di toko pedia,4,2,belanja toko,55,2.0,0.9853,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['belanja', 'toko']"
harganya murah,5,2,harga murah,56,2.0,0.9853,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['harga', 'murah']"
Barang yang dijual disini banyak dan lengkap,5,2,barang jual lengkap,57,2.0,0.9901,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['barang', 'jual', 'lengkap']"
Bukalapak super mantap,5,2,bukalapak super,58,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'super']"
Mitra pembelian yang sangat mantab.,5,2,mitra beli,59,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['mitra', 'beli']"
Alhamdulillah selesai pelatihan. Selain tempat belanja. Dsini juga bnyak ilmu,5,2,latih belanja dsini bnyak ilmu,60,1.0,0.6917,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['latih', 'belanja', 'dsini', 'bnyak', 'ilmu']"
Apk ini sangat membantu saya dalam membeli pelatihan prakerja,5,2,apk beli latih,61,1.0,0.9901,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'beli', 'latih']"
Banyak gratis ongkirnya������,5,2,gratis ongkirnya,62,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['gratis', 'ongkir']"
Alhamdulillah saya sering belanja.. dan lancar.. tapi tetap harus hati2 baca dulu ulasannya.. dan deskripsi produk masih ada yg memanfaatkan dengan harga yg murah dan harus di chat dlu ketersediaan produk dn akhir akhirnya minta di transfer kekurangan ongkir.. pokok nya yg minta transfer uang dengan alasan apapun ke rekening pribadi jangan pernah dianggap....,5,2,belanja lancar hati baca ulas deskripsi produk harga murah chat sedia produk dn transfer ongkir transfer uang alas rekening pribadi anggap,63,2.0,0.494,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['belanja', 'lancar', 'hati', 'baca', 'ulas', 'deskripsi', 'produk', 'harga', 'murah', 'chat', 'sedia', 'produk', 'dn', 'transfer', 'ongkir', 'transfer', 'uang', 'alas', 'rekening', 'pribadi', 'anggap']"
Lebih mudah belanja karena ada shoppe cod,5,2,mudah belanja shoppe cod,64,1.0,0.4975,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['mudah', 'belanja', 'shoppe', 'cod']"
"Tirimikisih tikipidii sidih birgibing di prikirji, ku silili sibir xixixi��",5,2,tirimikisih tikipidii sidih birgibing prikirji silili sibir xixixi,65,3.0,0.9712,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['tirimikisih', 'tikipidii', 'sidih', 'birgibing', 'prikirji', 'silili', 'sibir', 'tertawa']"
"By Tokopedia saya peserta prakerja .. saya membeli pelatihan lewat Tokopedia,sangat membantu dan mudah sekali .. terima kasih Tokopedia",5,2,by tokopedia beli latih tokopedia mudah tokopedia,66,1.0,0.832,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['by', 'aplikasi', 'beli', 'latih', 'aplikasi', 'mudah', 'aplikasi']"
Semoga barangnya cepat sampai . Belanja mudah,5,2,barang cepat belanja mudah,67,1.0,0.7348,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['barang', 'cepat', 'belanja', 'mudah']"
saya suka belaja di lazada,4,2,baja lazada,68,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['baja', 'aplikasi']"
Respon nya cepat barang nya bagus,5,2,respon cepat barang,69,3.0,0.9901,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['respon', 'cepat', 'barang']"
Pasti ori pengiriman cepat,5,2,ori kirim cepat,70,3.0,0.6612,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['asli', 'kirim', 'cepat']"
Bukalapak penyedia pelatihan prakerja memudahkan saya menyelesaikan pelatihan di baking world,5,2,bukalapak sedia latih mudah latih baking world,71,1.0,0.994,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'sedia', 'latih', 'mudah', 'latih', 'baking', 'world']"
"Oke, tapi ongkir nya makin mahal",5,2,ongkir mahal,72,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['ongkir', 'mahal']"
"Murahnya benar"" Nampol",5,2,murah nampol,73,2.0,0.9712,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['murah', 'nampol']"
Sangat mudah untuk belanja,5,2,mudah belanja,74,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['mudah', 'belanja']"
Pertahankan kinerja yang baik ini dan selektif terhadap sellernya...semoga selalu sukses ������,5,2,tahan selektif sellernya sukses,75,3.0,0.394,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['tahan', 'selektif', 'sellernya', 'sukses']"
Paylaternya saldonya gedein yaahh bolehlah.. hehehe,5,2,paylaternya saldo gedein yaahh,76,3.0,0.9712,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['paylaternya', 'saldo', 'gedein', 'yaahh']"
"Bagus sih, tapi ga bisa bayar pake gopay apa? Soalnya saya lebih sering pakai gopay dibanding ovo, jadi kasih fitur oambayaran gopay pliss����",4,2,bayar pake gopay pakai gopay banding ovo fitur oambayaran gopay pliss,77,3.0,0.997,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['bayar', 'pakai', 'ewallet', 'pakai', 'ewallet', 'banding', 'ewallet', 'fitur', 'oambayaran', 'ewallet', 'pliss']"
Mantappp dengan akal sehat belanja disini ✌✌,5,2,mantappp akal sehat belanja,78,1.0,0.4975,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['mantappp', 'akal', 'sehat', 'belanja']"
belanja dengan produk dan pengiriman terpercaya mantul gan,5,2,belanja produk kirim percaya,79,1.0,0.418,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['belanja', 'produk', 'kirim', 'percaya']"
Prakerja melalui tokopedia memang mudah soal di skil academy tapi kenapa di dasboard sertifikat nya belum muncul juga sudah 2 minggu sedangkan soal sudah 100%terjawab,5,2,tokopedia mudah skil academy dasboard sertifikat muncul minggu,80,1.0,0.5334,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'mudah', 'skil', 'academy', 'dasboard', 'sertifikat', 'muncul', 'minggu']"
Baru pertama kali beli di Shopee dan hasilx memuaskan,5,2,beli shopee hasilx,81,2.0,0.9853,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['beli', 'aplikasi', 'hasilx']"
